,smiles,against_depression
0,CNC1CCC(c2ccccc21)c1cc(Cl)c(Cl)cc1,True
1,CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,True
2,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,True
3,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12,True
4,Cc1cc(C)c(cc1)Sc1ccccc1N1CCNCC1,True
5,O=C1N2C=CC=CC2=NN1CCCN1CCN(CC1)c1cc(Cl)ccc1,True
6,CN1CCN(CC1)C1=Nc2ccccc2Nc2[s]c(C)cc12,True
7,CCNC(C)Cc1cc(ccc1)C(F)(F)F,True
8,Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,True
9,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F,True
10,CN(C)CC=C(c1c[n]ccc1)c1ccc(Br)cc1,True
11,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,True
12,Cl.CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,True
13,Cl.CNC1CCC(c2ccccc21)c1cc(Cl)c(Cl)cc1,True
14,Clc1cc2C(=Nc3ccccc3Oc2cc1)N1CCNCC1,True
15,NC(=O)c1cc2cc(ccc2o1)N1CCN(CCCCc2c[nH]c3ccc(cc23)C#N)CC1,True
16,Cl.CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12,True
17,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
18,Cl.O=C1N2C=CC=CC2=NN1CCCN1CCN(CC1)c1cc(Cl)ccc1,True
19,Cl.Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,True
20,Br.CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,True
21,Cl.CCNC(C)Cc1cc(ccc1)C(F)(F)F,True
23,CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1.OC(=O)C(O)=O,True
24,Br.Cc1cc(C)c(cc1)Sc1ccccc1N1CCNCC1,True
25,CC(N)Cc1cc(ccc1)C(F)(F)F,True
26,CCN1C(=O)N(CCCN2CCN(CC2)c2cc(Cl)ccc2)N=C1CC,True
27,C(CC1CCNCC1)c1c[nH]c2ccccc12,True
28,Cl.CC(C)(Cc1ccc(Cl)cc1)OC(=O)C(C)N,True
29,CC(C)(Cc1ccc(Cl)cc1)OC(=O)C(C)N,True
30,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
31,Cl.NC(=O)c1cc2cc(ccc2o1)N1CCN(CCCCc2c[nH]c3ccc(cc23)C#N)CC1,True
32,O.Cl.Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,True
34,Cl.Cl.CN(C)CC=C(c1c[n]ccc1)c1ccc(Br)cc1,True
35,O.Cl.Cl.CN(C)CC=C(c1c[n]ccc1)c1ccc(Br)cc1,True
36,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
37,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
38,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
39,OC(=O)C=CC(O)=O.Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,True
40,COc1ccc(cc1)OCC1CN(C)CCC1c1ccccc1,True
41,CC(N)Cc1cc(ccc1)C(F)(F)F,True
42,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
43,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=CC(O)=O,True
45,Cl.CN(C)CC=C(c1c[n]ccc1)c1ccc(Br)cc1,True
46,CC(O)=O.Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,True
48,Cl.COc1ccc(cc1)OCC1CN(C)CCC1c1ccccc1,True
49,Cl.COc1ccc(cc1)OCC1CN(C)CCC1c1ccccc1,True
50,CCOC(=O)CCCc1[n]c2cc(N)ccc2[n]1C,True
51,CNC1CCC(c2ccccc21)c1cc(Cl)c(Cl)cc1,True
52,Cl.CC(C)(Cc1ccc(Cl)cc1)OC(=O)C(C)N,True
53,Cl.CC(C)(Cc1ccc(Cl)cc1)OC(=O)C(C)N,True
54,[H+].[Br-].CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,True
55,[Cl-].C[NH2+]C1CCC(c2ccccc21)c1cc(Cl)c(Cl)cc1,True
714575,COc1ccc(Cl)cc1C(=O)Nc1ccccc1C(=O)N1CCN(CC1)c1ccccc1,False
686927,CCCCOc1cc(C)c(C)cc1S(=O)(=O)N1CC(C)CCC1,False
147686,O=C(CC=Cc1ccc(F)c(F)c1)c1ccc(Br)cc1,False
861155,O=C(Cc1c[nH]c2cccc(Br)c12)OCC1CC1,False
334328,O=C1C(=NC=CN1c1ccc(F)cc1)SCc1ccc(Cl)cc1,False
695879,Cc1ccc(cc1)-c1c[s]c([n]1)N1NC(C)=C(N=Nc2ccc(cc2)S(N)(=O)=O)C1=O,False
649722,COc1ccccc1C1=CC(=O)N2NC(=NC2=N1)SC,False
79769,Cc1cccc(NC2CC(C)(C)CC(=O)C=2)c1C,False
469316,[O-][N+](=O)c1cc2COCOc2c(COC(=O)c2cccc[n]2)c1,False
416897,Cc1cc(C)c(C(N)=O)c([n]1)SCC(=O)c1cc(C)c(C)cc1C,False
736222,COC1CCCCC1NCCc1ccc(Cl)cc1,False
674251,CC1=CC(O)=C(C(=O)Nc2cc(Cl)c(Cl)cc2)C(=O)N1CCOC,False
302177,COc1cc(ccc1OCc1ccccc1Cl)C=C(C#N)c1[nH]c2ccccc2[n]1,False
795502,COc1ccc(cc1Cl)NC(=O)CSc1ccc(c[n]1)[N+]([O-])=O,False
326217,CC(=O)c1ccc(cc1)S(=O)(=O)NC1CC(=O)N(C1)c1cc(C)c(C)cc1,False
984318,CN1CCN(CC1)N=C(C)C1C(=O)c2ccccc2C1=O,False
206363,CCOC(=O)Cc1[n]c2[n]c(C)cc(C)[n]2[n]1,False
283783,COc1ccc(cc1)-c1c[s]c2N=C(OC(=O)c12)c1ccccc1OC,False
916664,OC1CNCCC1CNCc1ccc(cc1)-c1cccc[n]1,False
946253,CCc1cc(ccc1)NC(=O)N(CC(=O)N(Cc1cc2OCOc2cc1)Cc1ccc[s]1)C1CC1,False
899100,CCN(CC(C)=C)C(=O)CC1C(=O)NCCN1Cc1ccccc1C,False
842988,Cc1cc2[n]c(oc2cc1)-c1cccc(NC(=O)c2ccco2)c1C,False
564551,Cc1cc(ccc1C)C1c2ccc[n]2CCCN1Cc1cc(ccc1)C(F)(F)F,False
711894,COc1ccc(C)cc1NC(=O)COc1ccc(Br)cc1C,False
114522,O=C(CSc1[n]c([n][s]1)-c1ccccc1Cl)Nc1cc2OCOc2cc1,False
359033,CCCN1CCN(CCCNC(=O)C2CN(CCC2)c2[n][n]c([s]2)-[n]2cccc2)CC1,False
46962,Cc1ccc(cc1)NC(=O)CCC(=O)Nc1ccc(C)cc1,False
47516,Cc1cc([n]c2ccc(cc12)NC(=O)C1=CC(=O)c2ccccc2O1)N1CCN(CC1)CC,False
446404,CCOc1ccc(cc1)N1CC(CC1=O)C(=O)Nc1ccc(cc1)S(=O)(=O)Nc1[n]cc[s]1,False
364090,ON=C1C2CN3CC1(CN(C2)CC3)c1ccccc1,False
624673,O=C(C1CN(CCN2CCOCC2)C(=O)CC1)N1CCCCCCC1,False
951331,CN(C)CCCN(C(=O)c1cc(C)o[n]1)c1[n]c2c([s]1)c(C)ccc2OC,False
541972,[O-][N+](=O)c1cc(ccc1S(=O)CC(=O)Oc1ccccc1)S(=O)(=O)C(F)(F)F,False
32052,C[n]1ccc2ccc3c4[nH]c5c(CCNC6CCC(O)CC6)cccc5c4c4C(=O)NC(=O)c4c3c12,False
39986,COc1cc([n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1)OC,False
609306,CCCOP(=O)(OCCC)C(Nc1ccc(Cl)cc1)c1ccc(Br)cc1,False
564807,COc1ccc(CN2CC[n]3[n]c(cc3C2=O)C(=O)NCc2cccc(c2)C(F)(F)F)cc1,False
496644,COc1cc(ccc1NC(=O)CN1C(=O)NC(C)(C2CC2)C1=O)OC,False
606729,CN1c2[n]c3N(CCC[n]3c2C(=O)N(CC=C)C1=O)c1ccc(cc1)OCC,False
774257,CCOC(=O)COc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)OCc1ccccc1,False
33342,Cc1ccccc1NC(=O)c1cc2ccccc2o1,False
810398,CN1c2[n]c3[n](c2C(=O)N(C(C)C(C)=O)C1=O)c(C)c(C)[n]3-c1cc(Cl)ccc1OC,False
334272,Cl.CCCCCC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(Cl)[n][n]1,False
294953,CN1c2ccc(Br)cc2C(O)(CC(=O)C=Cc2ccco2)C1=O,False
68318,Cc1cc([n][n]1CC(=O)NCc1ccccc1)C(F)(F)F,False
784543,Cc1cc(ccc1OCC(=O)N1Cc2ccccc2CC1)S(=O)(=O)NC1CCCCC1,False
827627,O=C(Nc1cc[n][n]1Cc1cccc(Cl)c1Cl)C1CCN(CC1)S(=O)(=O)c1ccccc1,False
249099,CCOc1ccc(cc1)-c1[n]c(c[s]1)C(O)=O,False
202285,CCc1ccc(cc1)NC(=S)N1CCN(CC1)c1cc(ccc1)OC,False
542489,COc1ccccc1OCC(=O)Nc1ccc(Cl)cc1C(F)(F)F,False
538295,CN(C)C=C1N=C(OC1=O)c1ccc(F)cc1,False
526590,CN(Cc1cco[n]1)C(=O)c1c[n][n](-c2[n]cc3CCCc4ccccc4-c3[n]2)c1C1CC1,False
586866,Cc1c(CNCCc2[nH]c3cc(F)ccc3[n]2)c2ccccc2[n]1CC(N)=O,False
969615,CC1CC2CN(CC2CC=1)C(=O)c1c[n]c([n]c1)OC,False
206763,COc1cc(ccc1Nc1[n]c([n]c(NC(C)(C)C)[n]1)N1CCOCC1)OC,False
