smiles,label
CCCN1CCC(CC1)NC(=O)COc1ccc(F)cc1Cl,0
CCC(Sc1[n][n][n][n]1-c1ccccc1)C(=O)Nc1[n][n]c(CCC)[s]1,0
Cc1cc(C)c(NC(=O)CSC2=NC(=O)N3C=CC(C)=CC3=N2)c(C)c1,0
CCCN1C(=NNC1=O)SCC(=O)NCc1ccccc1,0
COc1cc(OC)c(cc1Cl)C1CC(ON=1)C(=O)NCc1ccco1,0
O=C(C1CC1)c1ccc(cc1)OCc1ccc(Cl)cc1,0
Clc1cccc(Cl)c1CSc1[n][n]c(o1)-c1cc2OCOc2cc1,0
CCOC(=O)N1CCN(CC1)C(=O)C(=O)c1c[n](CC(=O)N2CCCCCC2)c2ccccc21,0
CCCOC(NC(=O)c1cc2OCOc2cc1)=NCCN(C)C,0
Cc1ccc(OCCOCCOc2ccccc2F)c(c1)OC,0
O=C(NNC(=O)Cc1ccc(cc1)OC(F)(F)F)c1c[n][nH][n]1,0
C=CC[n]1c([n][n]c1SCC(=O)c1c[nH]c2ccccc21)-c1cc(Br)ccc1,0
COc1ccccc1C1=CC(=O)N2NC(=NC2=N1)SC,0
Cl.CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1,1
NC(=O)c1ccc(cc1)NC(=O)C=CC(O)=O,0
[O-][N+](=O)c1ccccc1C(=O)NC(=S)Nc1ccc(O)cc1,0
O=S(=O)(Cc1ccccc1)Nc1ccc(cc1)S(=O)(=O)N1CCCCC1,0
Cc1cccc(NC(=O)c2ccccc2NC(=O)C=Cc2ccco2)c1C,0
Cc1ccc(cc1)N1N=C(C(=CC1=O)OS(=O)(=O)c1cc(Cl)ccc1OC)C(=O)OCC,0
CC1CN(Cc2cc(Cl)ccc2O1)Cc1cccc[n]1,0
COc1ccc(cc1OCC)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,0
Cc1cc(C)c(C(N)=O)c([n]1)SCC(=O)c1cc(C)c(C)cc1C,0
O=C(NN=Cc1c[n]ccc1)c1ccc(cc1)S(=O)(=O)N1CCCCCC1,0
Cc1[nH][n]c(SCC(=O)N2CCC(C)CC2)c1[N+]([O-])=O,0
CC(O)=O.Fc1ccc(cc1)C1CCNCC1COc1cc2OCOc2cc1,1
CCOC(=O)Cc1[n]c2[n]c(C)cc(C)[n]2[n]1,0
CCOC(=O)C(C#N)=C1SC(SS1)=C(C#N)C(=O)OCC,0
Nc1[n]c(CN2CCN(CC2)c2cccc[n]2)[n]c(Nc2ccc(F)cc2)[n]1,0
C[n]1cccc1CN(C1CC1)C(=O)CN(CC=C)C(=O)Nc1ccc(cc1OC)OC,0
COc1cc(ccc1)NC(=O)CN1CN(c2ccccc2)C2(CCN(CC2)C(=O)C2CCC2)C1=O,0
Cc1cc(C)c(cc1)C(=O)CSC1NC(=O)C=C(O)N=1,0
CCN1CCN(CC1)C(=O)CN(c1cc(ccc1Cl)C(F)(F)F)S(C)(=O)=O,0
COc1ccc(cc1[N+]([O-])=O)C(=O)NC(=S)Nc1ccc(cc1)N1CCCCC1,0
COc1cc(NC(=O)Cc2ccc(Br)cc2)c(cc1Cl)OC,0
Cc1[n]cc(CO)c(C=NNC(=S)Nc2ccc(cc2)C(C)C)c1O,0
CCc1ccc(cc1)NC(=O)C1CCCN1S(=O)(=O)c1cc2c(cc1)N(C)C(=O)C(=O)N2C,0
COc1cc(ccc1)NC(=O)CCC1CCN(CC1)C(=O)c1c[s][n][n]1,0
Cc1cc(NC(=O)CN2C(=O)N(c3ccc(cc3OC)OC)C(=O)c3c2[s]c2CCCc32)[n][nH]1,0
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,0
Cc1cccc(NC(=O)N2CCCC2C(=O)Nc2[n][n]c([s]2)-c2cc(ccc2)OC)c1C,0
COc1ccc(Br)cc1C1C(C#N)=C(N)OC2CCCC(=O)C=21,0
Cc1ccc(cc1)S(=O)(=O)CCC(=O)Nc1cc(Cl)ccc1,0
O=C(CSc1[n]c2ccccc2o1)Nc1ccccc1C(F)(F)F,0
O=C(COc1cc2ccccc2cc1)NC1C2CC3CC(CC1C3)C2,0
Cc1ccc(c(C)c1)N(c1[n]c(C[n]2c[n]c(C#N)[n]2)c[s]1)C(C)=O,0
CN1C(=O)c2c([n]ccc2SCC(=O)Nc2cc(Cl)ccc2)N(C)C1=O,0
